start_epoch,end_epoch,start_time,end_time,open,close,low,high,volume
1695682800,1695683040,2023-09-25 23:00:00+00:00,2023-09-25 23:04:00+00:00,26275.34,26292.15,26275.33,26294.83,11.888373
1695683100,1695683340,2023-09-25 23:05:00+00:00,2023-09-25 23:09:00+00:00,26292.15,26296.37,26284.37,26297.95,10.609344
1695683400,1695683640,2023-09-25 23:10:00+00:00,2023-09-25 23:14:00+00:00,26296.35,26292.89,26292.74,26298.41,9.884452
1695683700,1695683940,2023-09-25 23:15:00+00:00,2023-09-25 23:19:00+00:00,26292.9,26295.94,26287.82,26299.15,12.005492
1695684000,1695684240,2023-09-25 23:20:00+00:00,2023-09-25 23:24:00+00:00,26295.94,26294.39,26292.17,26297.31,12.613796
1695684300,1695684540,2023-09-25 23:25:00+00:00,2023-09-25 23:29:00+00:00,26294.38,26288.8,26288.7,26295.21,12.060371
1695684600,1695684840,2023-09-25 23:30:00+00:00,2023-09-25 23:34:00+00:00,26288.79,26287.82,26285.39,26289.41,15.722263
1695684900,1695685140,2023-09-25 23:35:00+00:00,2023-09-25 23:39:00+00:00,26287.82,26278.75,26278.74,26287.86,16.387561
1695685200,1695685440,2023-09-25 23:40:00+00:00,2023-09-25 23:44:00+00:00,26278.75,26266.97,26266.96,26280.9,20.462676
1695685500,1695685740,2023-09-25 23:45:00+00:00,2023-09-25 23:49:00+00:00,26266.97,26292.14,26262.17,26299.09,31.824483
1695685800,1695686040,2023-09-25 23:50:00+00:00,2023-09-25 23:54:00+00:00,26291.5,26299.01,26290.52,26312.07,13.212954
1695686100,1695686340,2023-09-25 23:55:00+00:00,2023-09-25 23:59:00+00:00,26299.01,26296.08,26293.49,26303.2,12.560606
1695686400,1695686640,2023-09-26 00:00:00+00:00,2023-09-26 00:04:00+00:00,26296.07,26288.42,26284.25,26302.58,13.7194
1695686700,1695686940,2023-09-26 00:05:00+00:00,2023-09-26 00:09:00+00:00,26289.01,26297.24,26284.29,26299.87,11.359107
1695687000,1695687240,2023-09-26 00:10:00+00:00,2023-09-26 00:14:00+00:00,26297.24,26276.12,26276.12,26299.22,15.48009
1695687300,1695687540,2023-09-26 00:15:00+00:00,2023-09-26 00:19:00+00:00,26276.11,26272.76,26269.57,26280.17,11.080901
1695687600,1695687840,2023-09-26 00:20:00+00:00,2023-09-26 00:24:00+00:00,26273.48,26274.4,26263.48,26277.26,11.052951
1695687900,1695688140,2023-09-26 00:25:00+00:00,2023-09-26 00:29:00+00:00,26274.4,26275.83,26274.4,26292.69,14.458773
1695688200,1695688440,2023-09-26 00:30:00+00:00,2023-09-26 00:34:00+00:00,26275.83,26260.43,26242.09,26275.83,28.976359
1695688500,1695688740,2023-09-26 00:35:00+00:00,2023-09-26 00:39:00+00:00,26260.43,26255.8,26255.41,26267.66,15.368071
1695688800,1695689040,2023-09-26 00:40:00+00:00,2023-09-26 00:44:00+00:00,26255.79,26261.84,26255.79,26266.27,10.857535
1695689100,1695689340,2023-09-26 00:45:00+00:00,2023-09-26 00:49:00+00:00,26261.84,26274.42,26258.62,26285.39,20.151651
1695689400,1695689640,2023-09-26 00:50:00+00:00,2023-09-26 00:54:00+00:00,26272.66,26275.28,26269.13,26285.16,23.679612
1695689700,1695689940,2023-09-26 00:55:00+00:00,2023-09-26 00:59:00+00:00,26275.29,26257.49,26256.86,26275.29,9.642773
1695690000,1695690240,2023-09-26 01:00:00+00:00,2023-09-26 01:04:00+00:00,26257.48,26258.17,26245.22,26260.65,15.296025
1695690300,1695690540,2023-09-26 01:05:00+00:00,2023-09-26 01:09:00+00:00,26258.17,26265.24,26251.99,26269.42,10.734551
1695690600,1695690840,2023-09-26 01:10:00+00:00,2023-09-26 01:14:00+00:00,26265.01,26293.48,26265.0,26293.82,16.78574
1695690900,1695691140,2023-09-26 01:15:00+00:00,2023-09-26 01:19:00+00:00,26294.61,26270.14,26267.76,26294.61,11.914348
1695691200,1695691440,2023-09-26 01:20:00+00:00,2023-09-26 01:24:00+00:00,26270.14,26258.13,26255.55,26276.28,11.425171
1695691500,1695691740,2023-09-26 01:25:00+00:00,2023-09-26 01:29:00+00:00,26257.72,26260.66,26250.5,26263.45,8.758331
1695691800,1695692040,2023-09-26 01:30:00+00:00,2023-09-26 01:34:00+00:00,26260.66,26245.17,26243.84,26260.66,7.580692
1695692100,1695692340,2023-09-26 01:35:00+00:00,2023-09-26 01:39:00+00:00,26246.48,26231.86,26227.69,26246.48,14.174722
1695692400,1695692640,2023-09-26 01:40:00+00:00,2023-09-26 01:44:00+00:00,26231.57,26235.52,26224.54,26236.4,9.935445
1695692700,1695692940,2023-09-26 01:45:00+00:00,2023-09-26 01:49:00+00:00,26234.83,26259.57,26234.82,26262.07,14.815002
1695693000,1695693240,2023-09-26 01:50:00+00:00,2023-09-26 01:54:00+00:00,26259.53,26289.14,26259.53,26290.29,27.369115
1695693300,1695693540,2023-09-26 01:55:00+00:00,2023-09-26 01:59:00+00:00,26288.47,26294.54,26277.83,26294.84,13.98291
1695693600,1695693840,2023-09-26 02:00:00+00:00,2023-09-26 02:04:00+00:00,26293.57,26301.96,26285.29,26304.9,14.180344
1695693900,1695694140,2023-09-26 02:05:00+00:00,2023-09-26 02:09:00+00:00,26300.53,26306.56,26283.44,26310.99,16.812266
1695694200,1695694440,2023-09-26 02:10:00+00:00,2023-09-26 02:14:00+00:00,26306.56,26299.58,26295.7,26308.23,12.96977
1695694500,1695694740,2023-09-26 02:15:00+00:00,2023-09-26 02:19:00+00:00,26299.58,26278.33,26277.04,26301.68,13.592166
1695694800,1695695040,2023-09-26 02:20:00+00:00,2023-09-26 02:24:00+00:00,26278.73,26278.23,26274.92,26290.67,8.099833
1695695100,1695695340,2023-09-26 02:25:00+00:00,2023-09-26 02:29:00+00:00,26278.81,26308.22,26277.98,26309.74,10.603071
1695695400,1695695640,2023-09-26 02:30:00+00:00,2023-09-26 02:34:00+00:00,26308.22,26294.12,26286.84,26308.22,7.046918
1695695700,1695695940,2023-09-26 02:35:00+00:00,2023-09-26 02:39:00+00:00,26294.12,26305.46,26294.11,26307.88,6.887874
1695696000,1695696240,2023-09-26 02:40:00+00:00,2023-09-26 02:44:00+00:00,26304.92,26312.27,26303.22,26316.87,8.617409
1695696300,1695696540,2023-09-26 02:45:00+00:00,2023-09-26 02:49:00+00:00,26310.38,26315.6,26301.95,26317.98,13.781652
1695696600,1695696840,2023-09-26 02:50:00+00:00,2023-09-26 02:54:00+00:00,26315.61,26334.85,26315.61,26335.24,17.212075
1695696900,1695697140,2023-09-26 02:55:00+00:00,2023-09-26 02:59:00+00:00,26334.85,26354.14,26334.85,26358.46,51.911003
1695697200,1695697440,2023-09-26 03:00:00+00:00,2023-09-26 03:04:00+00:00,26353.34,26364.6,26351.57,26369.69,28.640448
1695697500,1695697740,2023-09-26 03:05:00+00:00,2023-09-26 03:09:00+00:00,26364.99,26347.83,26346.83,26373.61,25.802165
1695697800,1695698040,2023-09-26 03:10:00+00:00,2023-09-26 03:14:00+00:00,26347.83,26342.33,26338.76,26354.82,20.663605
